2.550000	2.600000	cough
2.650000	2.700000	cough
2.750000	2.800000	cough
2.850000	2.900000	cough
3.075000	3.125000	cough
3.225000	3.275000	cough
3.525000	3.600000	cough
3.700000	3.775000	cough
3.950000	4.000000	cough
9.050000	9.100000	cough
9.400000	9.450000	cough
9.750000	9.800000	cough
10.233800	10.293200	cough
14.175000	14.225000	cough
14.650000	14.700000	cough
15.075000	15.125000	cough
16.175000	16.225000	cough
16.400000	16.475000	cough
28.850000	29.025000	cough
32.281800	32.369200	cough
41.675000	41.725000	cough
55.175000	55.225000	cough
